id,title,location_id,location_name,location_slug,city,property_type,area_sqft,bedrooms,bathrooms,property_age,floor_number,total_floors,amenities,amenity_count,has_parking,has_power_backup,has_security,has_gym,has_pool,has_clubhouse,lat,lng,base_micro_price_sqft,fair_value_sqft,fair_value_total,current_price,monthly_rent,rental_yield,infra_score,flood_risk_score,demand_index,supply_index,selling_days,status,listed_date
664,4 BHK Independent House in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Independent House,2989,4,4,4,1,2,"[""Power Backup"", ""Children Play Area"", ""Intercom""]",3,False,True,False,False,False,False,12.85417,80.23509,9200,8518,25460302,24951096,67894,3.2,75,68,69,52,90,Active,2026-07-18
665,3 BHK Independent House in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Independent House,1625,3,3,25,1,2,"[""EV Charging Station""]",1,False,False,False,False,False,False,12.89581,80.23774,6200,4159,6758375,7299045,23091,4.1,88,45,68,82,115,Active,2026-03-08
666,3 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,2752,3,3,19,1,3,"[""Covered Car Parking"", ""Swimming Pool"", ""Intercom""]",3,True,False,False,False,True,False,12.92554,80.18178,5400,4248,11690496,11456686,38968,4.0,80,52,82,64,70,Sold,2026-03-19
667,4 BHK Independent House in Adyar,11,Adyar,adyar,Chennai,Independent House,2701,4,4,8,1,2,"[""Gymnasium"", ""Intercom"", ""Children Play Area"", ""Rainwater Harvesting""]",4,False,False,False,True,False,False,13.00782,80.2544,15800,15538,41968138,42807501,90931,2.6,93,38,88,38,42,Sold,2026-05-15
668,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1375,3,2,5,6,7,"[""Rainwater Harvesting""]",1,False,False,False,False,False,False,12.99695,80.24396,15800,16845,23161875,23625112,50184,2.6,93,38,88,38,42,Sold,2026-02-03
669,3 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,2054,3,3,23,1,2,"[""Gymnasium"", ""EV Charging Station"", ""Swimming Pool"", ""Clubhouse"", ""24/7 Security""]",5,False,False,True,True,True,True,12.91946,80.19039,5400,3892,7994168,7674401,26647,4.0,80,52,82,64,70,Sold,2026-07-14
670,2 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,906,2,2,15,7,8,"[""Children Play Area""]",1,False,False,False,False,False,False,12.92362,80.19138,5400,4547,4119582,4037190,13732,4.0,80,52,82,64,70,Sold,2026-02-10
671,3 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1766,3,2,9,19,23,"[""Power Backup"", ""Intercom"", ""EV Charging Station"", ""Clubhouse"", ""Gymnasium""]",5,False,True,False,True,False,True,12.91801,80.19722,5400,5278,9320948,8948110,31070,4.0,80,52,82,64,70,Active,2026-04-03
672,3 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1532,3,3,14,16,22,"[""Rainwater Harvesting"", ""Swimming Pool"", ""Gymnasium"", ""Clubhouse""]",4,False,False,False,True,True,True,12.92617,80.19081,5400,5414,8294248,8957788,27647,4.0,80,52,82,64,70,Active,2026-04-12
673,3 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1584,3,3,13,6,23,"[""Clubhouse"", ""Children Play Area""]",2,False,False,False,False,False,True,13.04328,80.24412,14800,13588,21523392,21953860,60983,3.4,95,40,85,36,45,Active,2026-06-06
674,3 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1682,3,2,8,3,11,"[""24/7 Security"", ""Gymnasium"", ""Power Backup"", ""EV Charging Station"", ""Children Play Area""]",5,False,True,True,True,False,False,13.04437,80.23565,14800,14739,24790998,26030548,70241,3.4,95,40,85,36,45,Sold,2026-03-03
675,3 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,2435,3,3,16,1,2,"[""24/7 Security"", ""Power Backup""]",2,False,True,True,False,False,False,12.96958,80.21617,7800,6343,15445205,16217465,59207,4.6,82,78,79,62,75,Sold,2026-01-03
676,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1752,3,3,12,12,14,"[""Children Play Area"", ""Swimming Pool""]",2,False,False,False,False,True,False,13.0182,80.26715,15800,14000,24528000,23546880,53144,2.6,93,38,88,38,42,Sold,2026-06-05
677,3 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1755,3,3,2,3,18,"[""Power Backup"", ""EV Charging Station"", ""Clubhouse"", ""Rainwater Harvesting"", ""Intercom""]",5,False,True,False,False,False,True,13.0083,80.19059,11500,11821,20745855,20330938,67424,3.9,96,30,78,45,52,Sold,2026-01-20
678,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,913,2,2,5,13,21,"[""Swimming Pool""]",1,False,False,False,False,True,False,12.98582,80.21803,7800,7761,7085793,7652656,27162,4.6,82,78,79,62,75,Sold,2026-04-12
679,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,867,2,2,14,7,21,"[""Intercom""]",1,False,False,False,False,False,False,12.93436,80.12664,5100,4632,4015944,4337220,12717,3.8,79,32,84,54,60,Active,2026-06-04
680,3 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,2918,3,3,21,1,1,"[""Swimming Pool""]",1,False,False,False,False,True,False,12.92857,80.19957,5400,4264,12442352,12691199,41475,4.0,80,52,82,64,70,Active,2026-02-12
681,2 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,858,2,2,0,1,17,"[""Power Backup"", ""Gymnasium"", ""Rainwater Harvesting"", ""Swimming Pool""]",4,False,True,False,True,True,False,13.08209,80.20789,14200,16729,14353482,15501761,33491,2.8,94,22,86,42,48,Sold,2026-02-02
682,2 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1017,2,2,6,9,14,"[""Power Backup"", ""Intercom"", ""Children Play Area"", ""Rainwater Harvesting"", ""Swimming Pool""]",5,False,True,False,False,True,False,12.9349,80.19041,5400,5632,5727744,5613189,19092,4.0,80,52,82,64,70,Sold,2026-03-11
683,1 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,687,1,1,12,1,14,"[""EV Charging Station"", ""Power Backup""]",2,False,True,False,False,False,False,12.93119,80.12105,5100,4653,3196611,3068747,10123,3.8,79,32,84,54,60,Active,2026-03-21
684,2 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,884,2,2,9,7,10,"[""EV Charging Station"", ""Gymnasium"", ""Clubhouse"", ""Rainwater Harvesting"", ""Swimming Pool""]",5,False,False,False,True,True,True,12.96567,80.24699,7500,6846,6051864,6354457,22694,4.5,86,58,77,60,72,Active,2026-06-23
685,3 BHK Gated Community Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Gated Community Apartment,1416,3,3,15,6,9,"[""Covered Car Parking"", ""Swimming Pool""]",2,True,False,False,False,True,False,12.9129,80.19648,5400,5216,7385856,7755149,24620,4.0,80,52,82,64,70,Active,2026-04-13
686,3 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1518,3,2,3,1,11,"[""Power Backup"", ""Children Play Area"", ""Rainwater Harvesting"", ""24/7 Security""]",4,False,True,True,False,False,False,12.84711,80.24273,9200,10613,16110534,15466113,42961,3.2,75,68,69,52,90,Sold,2026-03-16
687,2 BHK Independent House in Porur,5,Porur,porur,Chennai,Independent House,2639,2,2,22,1,1,"[""Power Backup""]",1,False,True,False,False,False,False,13.05118,80.15668,6400,4883,12886237,13917136,46176,4.3,85,42,81,58,65,Active,2026-04-24
688,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1012,2,2,13,2,24,"[""Swimming Pool"", ""Power Backup"", ""Covered Car Parking""]",3,True,True,False,False,True,False,13.02188,80.19492,11500,9607,9722284,9722284,31597,3.9,96,30,78,45,52,Sold,2026-05-02
689,5 BHK Villa in Adyar,11,Adyar,adyar,Chennai,Villa,3111,5,5,8,1,3,"[""Clubhouse"", ""EV Charging Station"", ""Swimming Pool"", ""Intercom""]",4,False,False,False,False,True,True,12.98986,80.24983,15800,18546,57696606,58850538,125009,2.6,93,38,88,38,42,Sold,2026-02-02
690,5 BHK Villa in Adyar,11,Adyar,adyar,Chennai,Villa,3036,5,5,1,1,2,"[""Rainwater Harvesting"", ""Intercom"", ""Power Backup""]",3,False,True,False,False,False,False,12.99931,80.26245,15800,19870,60325320,59118814,130705,2.6,93,38,88,38,42,Active,2026-04-24
691,4 BHK Villa in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Villa,3009,4,4,6,1,2,"[""Rainwater Harvesting"", ""Power Backup"", ""24/7 Security""]",3,False,True,True,False,False,False,12.89174,80.22772,6100,6948,20906532,20906532,76657,4.4,84,62,72,78,105,Active,2026-06-07
692,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1772,3,2,12,7,15,"[""EV Charging Station"", ""Rainwater Harvesting""]",2,False,False,False,False,False,False,13.03171,80.14759,6400,5593,9910796,10109012,35514,4.3,85,42,81,58,65,Active,2026-06-14
693,3 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,1773,3,2,2,14,16,"[""24/7 Security"", ""Intercom"", ""Clubhouse"", ""Rainwater Harvesting"", ""Covered Car Parking"", ""Gymnasium"", ""EV Charging Station"", ""Children Play Area""]",8,True,False,True,True,False,True,12.93064,80.12298,5100,6179,10955367,11174474,34692,3.8,79,32,84,54,60,Active,2026-03-13
694,3 BHK Independent House in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Independent House,1394,3,3,6,1,2,"[""Power Backup"", ""Clubhouse"", ""Rainwater Harvesting"", ""Swimming Pool""]",4,False,True,False,False,True,True,12.85619,80.24791,9200,9203,12828982,12315823,34211,3.2,75,68,69,52,90,Active,2026-06-24
695,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1062,2,2,12,12,16,"[""24/7 Security"", ""Gymnasium"", ""Children Play Area"", ""Swimming Pool""]",4,False,False,True,True,True,False,13.00677,80.19413,11500,11771,12500802,12000770,40628,3.9,96,30,78,45,52,Active,2026-05-06
696,3 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1541,3,3,11,16,20,"[""Children Play Area""]",1,False,False,False,False,False,False,13.08799,80.2126,14200,13126,20227166,20631709,47197,2.8,94,22,86,42,48,Active,2026-02-16
697,3 BHK Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Apartment,1650,3,2,8,5,24,"[""EV Charging Station"", ""Clubhouse"", ""24/7 Security"", ""Gymnasium"", ""Rainwater Harvesting""]",5,False,False,True,True,False,True,12.89583,80.23772,6200,6084,10038600,10540530,34299,4.1,88,45,68,82,115,Active,2026-07-06
698,2 BHK Gated Community Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Gated Community Apartment,897,2,2,12,23,24,"[""Rainwater Harvesting"", ""Gymnasium"", ""Power Backup"", ""EV Charging Station"", ""Intercom""]",5,False,True,False,True,False,False,12.89196,80.23081,6200,6734,6040398,6161206,20638,4.1,88,45,68,82,115,Sold,2026-03-17
699,3 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1671,3,3,3,3,17,"[""Rainwater Harvesting"", ""Covered Car Parking"", ""Clubhouse"", ""EV Charging Station"", ""Intercom"", ""Gymnasium"", ""Power Backup""]",7,True,True,False,True,False,True,12.84922,80.25176,9200,10851,18132021,19582583,48352,3.2,75,68,69,52,90,Active,2026-02-27
700,1 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,537,1,1,13,17,17,"[""Children Play Area"", ""Clubhouse"", ""Intercom""]",3,False,False,False,False,False,True,12.90048,80.22848,6100,5915,3176355,3176355,11647,4.4,84,62,72,78,105,Sold,2026-02-07
701,2 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,906,2,2,5,7,18,"[""Swimming Pool"", ""Clubhouse""]",2,False,False,False,False,True,True,12.91545,80.22509,6100,5981,5418786,5310410,19869,4.4,84,62,72,78,105,Sold,2026-07-14
702,3 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1919,3,2,2,6,24,"[""Gymnasium"", ""Children Play Area"", ""Rainwater Harvesting""]",3,False,False,False,True,False,False,12.90243,80.23773,6100,6600,12665400,12665400,46440,4.4,84,62,72,78,105,Sold,2026-01-19
703,2 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1194,2,2,1,1,7,"[""Swimming Pool"", ""Rainwater Harvesting"", ""Gymnasium""]",3,False,False,False,True,True,False,13.09945,80.20322,14200,14759,17622246,17269801,41119,2.8,94,22,86,42,48,Active,2026-01-13
704,2 BHK Gated Community Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Gated Community Apartment,1239,2,2,15,8,12,"[""Covered Car Parking"", ""Children Play Area"", ""Rainwater Harvesting"", ""Clubhouse"", ""EV Charging Station"", ""Intercom"", ""24/7 Security"", ""Swimming Pool""]",8,True,False,True,False,True,True,12.96967,80.25282,7500,8317,10304763,10304763,38643,4.5,86,58,77,60,72,Active,2026-04-20
705,4 BHK Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Apartment,2894,4,4,14,1,7,"[""Clubhouse"", ""Swimming Pool"", ""Gymnasium"", ""Children Play Area""]",4,False,False,False,True,True,True,12.9006,80.22027,6200,5588,16171672,16980256,55253,4.1,88,45,68,82,115,Sold,2026-06-25
706,2 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,1166,2,2,13,17,19,"[""Power Backup"", ""Swimming Pool"", ""Covered Car Parking"", ""Intercom"", ""EV Charging Station"", ""Clubhouse"", ""Children Play Area""]",7,True,True,False,False,True,True,13.08043,80.21276,14200,15878,18513748,19994848,43199,2.8,94,22,86,42,48,Active,2026-04-08
707,2 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1228,2,2,11,3,23,"[""EV Charging Station"", ""Gymnasium"", ""Children Play Area"", ""Clubhouse""]",4,False,False,False,True,False,True,12.9669,80.23502,7500,6983,8575124,9003880,32157,4.5,86,58,77,60,72,Sold,2026-02-28
708,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1796,3,2,2,8,8,"[""Intercom"", ""EV Charging Station"", ""Clubhouse""]",3,False,False,False,False,False,True,12.85388,80.24746,9200,9913,17803748,18159823,47477,3.2,75,68,69,52,90,Active,2026-04-22
709,3 BHK Villa in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Villa,3066,3,3,10,1,2,"[""Gymnasium"", ""Rainwater Harvesting"", ""Children Play Area"", ""Covered Car Parking"", ""Swimming Pool"", ""Intercom"", ""Clubhouse""]",7,True,False,False,True,True,True,12.85258,80.24519,9200,10725,32882850,33540507,87688,3.2,75,68,69,52,90,Active,2026-02-24
710,3 BHK Gated Community Apartment in Porur,5,Porur,porur,Chennai,Gated Community Apartment,1406,3,2,15,21,21,"[""Covered Car Parking"", ""Power Backup""]",2,True,True,False,False,False,False,13.02671,80.14597,6400,6123,8608938,9039385,30849,4.3,85,42,81,58,65,Active,2026-05-03
711,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1217,2,2,7,14,16,"[""24/7 Security"", ""Gymnasium""]",2,False,False,True,True,False,False,13.00874,80.25662,15800,13842,16845714,16845714,36499,2.6,93,38,88,38,42,Sold,2026-01-11
712,3 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1472,3,2,4,12,22,"[""Children Play Area"", ""Swimming Pool"", ""24/7 Security""]",3,False,False,True,False,True,False,13.04035,80.23325,14800,15893,23394496,22458716,66284,3.4,95,40,85,36,45,Active,2026-02-28
713,4 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,2409,4,4,23,1,2,"[""Intercom"", ""Power Backup""]",2,False,True,False,False,False,False,12.93247,80.20159,5400,3777,9098793,8734841,30329,4.0,80,52,82,64,70,Active,2026-05-28
714,2 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1001,2,2,14,8,11,"[""Rainwater Harvesting"", ""24/7 Security""]",2,False,False,True,False,False,False,12.90497,80.23646,6100,5271,5276271,5170746,19346,4.4,84,62,72,78,105,Active,2026-07-26
715,1 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,601,1,1,3,9,13,"[""Rainwater Harvesting"", ""EV Charging Station"", ""Power Backup""]",3,False,True,False,False,False,False,13.03952,80.23477,14800,14298,8593098,8764960,24347,3.4,95,40,85,36,45,Sold,2026-04-02
716,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1216,2,2,1,4,10,"[""EV Charging Station"", ""Children Play Area""]",2,False,False,False,False,False,False,13.01305,80.20152,11500,12626,15353216,15353216,49898,3.9,96,30,78,45,52,Active,2026-06-28
717,4 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,2561,4,4,15,7,14,"[""Children Play Area"", ""Rainwater Harvesting"", ""Gymnasium""]",3,False,False,False,True,False,False,12.92163,80.13133,5100,4210,10781810,11320900,34142,3.8,79,32,84,54,60,Active,2026-03-23
718,3 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1841,3,3,10,2,7,"[""Swimming Pool"", ""24/7 Security"", ""EV Charging Station"", ""Covered Car Parking"", ""Gymnasium""]",5,True,False,True,True,True,False,13.08757,80.21144,14200,13881,25554921,26832667,59628,2.8,94,22,86,42,48,Sold,2026-06-16
719,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1494,3,2,11,1,10,"[""Gymnasium"", ""Clubhouse"", ""Children Play Area"", ""Power Backup"", ""Covered Car Parking""]",5,True,True,False,True,False,True,13.02987,80.14663,6400,5998,8961012,8781792,32110,4.3,85,42,81,58,65,Active,2026-01-12
720,2 BHK Independent House in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Independent House,1314,2,2,18,1,1,"[""Rainwater Harvesting"", ""Children Play Area"", ""Clubhouse""]",3,False,False,False,False,False,True,12.89631,80.23053,6100,4700,6175800,6669864,22645,4.4,84,62,72,78,105,Active,2026-02-02
721,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1100,2,2,5,12,13,"[""Gymnasium"", ""EV Charging Station"", ""Children Play Area"", ""Clubhouse""]",4,False,False,False,True,False,True,12.97227,80.21661,7800,8017,8818700,9524196,33805,4.6,82,78,79,62,75,Active,2026-03-01
722,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,912,2,2,7,17,19,"[""Rainwater Harvesting""]",1,False,False,False,False,False,False,12.97673,80.23754,7800,7955,7254960,7617708,27811,4.6,82,78,79,62,75,Active,2026-04-09
723,3 BHK Gated Community Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Gated Community Apartment,1887,3,2,13,16,16,"[""Rainwater Harvesting"", ""Clubhouse"", ""Gymnasium"", ""Intercom""]",4,False,False,False,True,False,True,13.05383,80.23402,14800,14859,28038933,26917376,79444,3.4,95,40,85,36,45,Active,2026-07-26
724,3 BHK Penthouse in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Penthouse,2880,3,4,8,24,24,"[""Intercom"", ""Rainwater Harvesting"", ""EV Charging Station"", ""Swimming Pool"", ""24/7 Security"", ""Covered Car Parking"", ""Children Play Area"", ""Power Backup""]",8,True,True,True,False,True,False,12.8485,80.25159,9200,12988,37405440,40397875,99748,3.2,75,68,69,52,90,Active,2026-02-28
725,3 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1285,3,3,1,2,14,"[""Rainwater Harvesting"", ""Power Backup""]",2,False,True,False,False,False,False,12.9609,80.23473,7500,7767,9980595,10779043,37427,4.5,86,58,77,60,72,Sold,2026-05-09
726,1 BHK Gated Community Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Gated Community Apartment,551,1,1,11,10,20,"[""Clubhouse"", ""Children Play Area"", ""Swimming Pool"", ""Gymnasium"", ""Rainwater Harvesting"", ""EV Charging Station""]",6,False,False,False,True,True,True,12.90111,80.22412,6200,6390,3520890,3696934,12030,4.1,88,45,68,82,115,Active,2026-03-22
727,2 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1145,2,2,11,11,19,"[""Intercom"", ""Rainwater Harvesting"", ""Power Backup"", ""Covered Car Parking"", ""Swimming Pool""]",5,True,True,False,False,True,False,12.84868,80.24688,9200,8490,9721050,10498734,25923,3.2,75,68,69,52,90,Active,2026-02-02
728,2 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,960,2,2,11,4,8,"[""Clubhouse"", ""Children Play Area"", ""Gymnasium""]",3,False,False,False,True,False,True,13.07035,80.20027,14200,12344,11850240,12442752,27651,2.8,94,22,86,42,48,Sold,2026-04-21
729,2 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,892,2,2,13,11,12,"[""Clubhouse"", ""Intercom"", ""Power Backup"", ""Swimming Pool"", ""Covered Car Parking"", ""Rainwater Harvesting"", ""Gymnasium""]",7,True,True,False,True,True,True,12.93223,80.12172,5100,5303,4730276,5108698,14979,3.8,79,32,84,54,60,Active,2026-06-21
730,3 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1709,3,2,13,13,14,"[""Swimming Pool"", ""Power Backup"", ""Gymnasium"", ""Clubhouse"", ""Rainwater Harvesting""]",5,False,True,False,True,True,True,12.8538,80.24239,9200,9250,15808250,16598662,42155,3.2,75,68,69,52,90,Sold,2026-05-14
731,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,895,2,2,10,15,15,"[""Clubhouse"", ""Power Backup"", ""24/7 Security""]",3,False,True,True,False,False,True,12.97196,80.21812,7800,7220,6461900,6203424,24771,4.6,82,78,79,62,75,Sold,2026-02-13
732,4 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,1605,4,4,18,1,1,"[""Rainwater Harvesting"", ""EV Charging Station"", ""Gymnasium""]",3,False,False,False,True,False,False,12.97735,80.23163,7800,6464,10374720,10893456,39770,4.6,82,78,79,62,75,Active,2026-05-28
733,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1902,3,2,10,2,5,"[""Clubhouse"", ""Covered Car Parking"", ""Children Play Area"", ""Power Backup""]",4,True,True,False,False,False,True,13.03996,80.16906,6400,5957,11330214,11896725,40600,4.3,85,42,81,58,65,Sold,2026-01-22
734,3 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1409,3,2,1,9,16,"[""Covered Car Parking"", ""Power Backup"", ""Children Play Area"", ""Rainwater Harvesting"", ""Intercom"", ""Gymnasium"", ""EV Charging Station""]",7,True,True,False,True,False,False,12.85369,80.2467,9200,11171,15739939,15739939,41973,3.2,75,68,69,52,90,Active,2026-05-10
735,4 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,2533,4,3,2,11,13,"[""Children Play Area"", ""Covered Car Parking"", ""Gymnasium""]",3,True,False,False,True,False,False,13.0265,80.16396,6400,6513,16497429,17817223,59116,4.3,85,42,81,58,65,Sold,2026-06-08
736,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,879,2,2,9,6,6,"[""EV Charging Station"", ""Swimming Pool"", ""Children Play Area"", ""Covered Car Parking"", ""24/7 Security""]",5,True,False,True,False,True,False,12.96876,80.22531,7800,6934,6094986,6582585,23364,4.6,82,78,79,62,75,Sold,2026-04-17
737,4 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,2545,4,3,6,1,16,"[""Children Play Area""]",1,False,False,False,False,False,False,13.00133,80.26282,15800,15790,40185550,43400394,87069,2.6,93,38,88,38,42,Active,2026-03-08
738,3 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1820,3,2,5,15,23,"[""Power Backup"", ""Clubhouse"", ""Gymnasium"", ""Intercom"", ""EV Charging Station""]",5,False,True,False,True,False,True,13.03495,80.23488,14800,16441,29922620,31418751,84781,3.4,95,40,85,36,45,Active,2026-01-14
739,2 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1041,2,2,7,3,7,"[""Gymnasium"", ""24/7 Security"", ""Intercom"", ""Power Backup"", ""Clubhouse""]",5,False,True,True,True,False,True,12.90024,80.22683,6100,5939,6182499,6182499,22669,4.4,84,62,72,78,105,Sold,2026-06-21
740,2 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1006,2,2,1,17,24,"[""Rainwater Harvesting"", ""EV Charging Station"", ""Swimming Pool"", ""Clubhouse""]",4,False,False,False,False,True,True,12.96222,80.23663,7500,8391,8441346,8103692,31655,4.5,86,58,77,60,72,Active,2026-03-10
741,2 BHK Gated Community Apartment in Guindy,6,Guindy,guindy,Chennai,Gated Community Apartment,1029,2,2,11,7,9,"[""Gymnasium"", ""Children Play Area""]",2,False,False,False,True,False,False,13.00231,80.21302,11500,11520,11854080,12091162,38526,3.9,96,30,78,45,52,Sold,2026-05-17
742,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1099,2,2,8,2,4,"[""EV Charging Station"", ""Children Play Area""]",2,False,False,False,False,False,False,12.91549,80.1314,5100,4669,5131231,5131231,16249,3.8,79,32,84,54,60,Sold,2026-04-06
743,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1391,3,3,4,6,18,"[""Children Play Area"", ""Swimming Pool"", ""Covered Car Parking""]",3,True,False,False,False,True,False,12.86189,80.235,9200,9421,13104611,14152980,34946,3.2,75,68,69,52,90,Sold,2026-02-10
744,2 BHK Independent House in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Independent House,2824,2,2,12,1,3,"[""Clubhouse""]",1,False,False,False,False,False,True,12.88534,80.22492,6200,5148,14537952,15700988,49671,4.1,88,45,68,82,115,Sold,2026-04-22
745,2 BHK Independent House in Porur,5,Porur,porur,Chennai,Independent House,3103,2,2,17,1,3,"[""Covered Car Parking"", ""Children Play Area""]",2,True,False,False,False,False,False,13.04765,80.15428,6400,5154,15992862,16792505,57308,4.3,85,42,81,58,65,Active,2026-06-27
746,2 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,905,2,2,4,2,4,"[""Intercom"", ""Swimming Pool"", ""Power Backup""]",3,False,True,False,False,True,False,12.92633,80.17943,5400,5331,4824555,4631573,16082,4.0,80,52,82,64,70,Active,2026-03-14
747,3 BHK Independent House in Perungudi,10,Perungudi,perungudi,Chennai,Independent House,2879,3,3,11,1,2,"[""EV Charging Station"", ""Gymnasium"", ""Children Play Area""]",3,False,False,False,True,False,False,12.97664,80.2422,7500,6535,18814265,18437980,70553,4.5,86,58,77,60,72,Active,2026-06-17
